"SrNo","StationName","Data_Src","display_name","Installed_cap_MW","Utility_type","Utility_subtype","Type","Subtype","Fuel","PSP_name","LTA_name","RLDC_name"
"292","RAICHUR TPS","PSP","RAICHUR TPS","0","0","Others","0","0",,,,
"293","RAJ_SOLAR","LTA","RAJ_SOLAR","0","0","Others","0","0",,,,
"294","RAJGHAT_HY_MPSEB","LTA","RAJGHAT_HY_MPSEB","0","0","Hydro","0","0",,,,
"295","RAJPURA(NPL) TPS","PSP","RAJPURA(NPL) TPS","0","0","Thermal","0","0",,,,
"296","RAJWEST (IPP) LTPS","PSP","RAJWEST (IPP) LTPS","0","0","Thermal","0","0",,,,
"297","RAMAGUNDAM-B","PSP","RAMAGUNDAM-B","63","0","Others","0","0",,,,
"298","RAMAM","PSP","RAMAM","0","CS","NTPC","Hydro","MustRun","NULL",,,
"299","RAMGARH GPS","PSP","RAMGARH GPS","0","0","Gas","0","0",,,,
"300","RAMPUR","ISGS","RAMPUR","412","0","Hydro","0","0",,,,
"301","RANGANADI","ISGS","RANGANADI","405","0","Others","HYDRO","0",,,,
"302","RANGIT","ISGS","RANGIT","60","NULL","NULL","Hydro","MustRun","NULL",,,
"303","RANJIT SAGAR POWER PLANT ","PSP","RANJIT SAGAR POWER PLANT ","0","0","Hydro","0","0",,,,
"304","RAPPB","ISGS","RAPPB","440","0","Nuclear","0","0",,,,
"305","RAPPC","ISGS","RAPPC","440","0","Nuclear","0","0",,,,
"306","RAPS-A","PSP","RAPS-A","0","0","RE","0","0",,,,
"307","RAYALASEEMA TPP","PSP","RAYALASEEMA TPP","0","0","0","0","0",,,,
"308","REGL","LTA","REGL","0","IPP","Thermal","Coal","0",,,,
"309","RELIANCE ENERGY LTD. (GAS)","PSP","RELIANCE ENERGY LTD. (GAS)","0","0","0","0","0",,,,
"310","RENGALI HPS ","PSP","RENGALI HPS ","250","0","Hydro","0","0",,,,
"311","RGCCPP KAYAMKULAM (KSEB) - NTPC","PSP","RGCCPP KAYAMKULAM (KSEB) - NTPC","0","CS","NTPC-G","0","0",,,,
"312","RGPPL_MSEB","ISGS","RGPPL_MSEB","0","CS","NTPC","0","0",,,,
"313","RGPPL_OTHERS","ISGS","RGPPL_OTHERS","0","CS","NTPC","0","0",,,,
"314","RGTPP( KHEDAR)","PSP","RGTPP( KHEDAR)","0","0","Others","0","0",,,,
"315","RIHAND_HYDRO","LTA","RIHAND_HYDRO","0","NULL","NULL","Hydro","MustRun","NULL",,,
